ID,Station,Latitude,Longitude,Vs30,q,σln(VS30),SMS,Note,Source,,
132,SCPT_136515.csv,-37.7214224,176.3187113,233.8829986,2,,,,,,
133,SDMT_92527.csv,-37.70537848,175.2511609,223.5224056,2,,,,,,
134,SCPT_195188.csv,-36.95504304,174.802937,139.4309645,2,,,,,,
135,SDMT_178947.csv,-37.71233009,176.1036375,124.3131926,2,,,,,,
136,SCPT_124801.csv,-37.76196026,176.1056883,247.7689758,2,,,,,,
137,SCPT_57351.csv,-43.49450535,172.601567,143.6039113,2,,,,,,
138,SDMT_92554.csv,-37.79009451,175.3411655,270.5499784,2,,,,,,
139,SDMT_156438.csv,-37.68224675,176.1690089,250.2585438,2,,,,,,
140,SDMT_122152.csv,-37.68121999,176.1690792,224.2736255,2,,,,,,
141,SDMT_92543.csv,-37.80995345,175.3437123,219.3417021,2,,,,,,
142,SDMT_67014.csv,-36.96758856,174.7783576,121.7410077,2,,,,,,
143,SDMT_67002.csv,-36.96152549,174.7772337,205.8083166,2,,,,,,
144,SDMT_66983.csv,-36.96136058,174.7762078,210.242577,2,,,,,,
145,SCPT_140250.csv,-37.80159378,175.3093645,253.9171504,2,,,,,,
146,SCPT_57359.csv,-43.51057372,172.6148771,145.8679852,2,,,,,,
147,SCPT_57280.csv,-43.51881525,172.6340723,113.6574527,2,,,,,,
148,SDMT_156436.csv,-37.68171094,176.1694141,190.3996574,2,,,,,,
149,SDMT_92548.csv,-37.81080294,175.3431372,277.8695979,2,,,,,,
150,SDMT_92539.csv,-37.77746405,175.3339096,186.2422879,2,,,,,,
151,SDMT_141748.csv,-36.66293697,174.43352,147.9937184,2,,,,,,
152,SCPT_140253.csv,-37.80197002,175.3067709,244.8035321,2,,,,,,
153,SDMT_92536.csv,-37.76100998,175.3188178,126.7700235,2,,,,,,
154,SDMT_167294.csv,-36.8679008,174.7627887,178.8567122,2,,,,,,
155,SCPT_124802.csv,-37.76243028,176.1061163,216.3399301,2,,,,,,
156,SCPT_57339.csv,-43.49208257,172.6192493,127.0699027,2,,,,,,
157,SDMT_173187.csv,-37.71744132,176.3207169,222.4550812,2,,,,,,
158,SCPT_192478.csv,-37.15777199,174.896506,249.142979,2,,,,,,
159,SDMT_92541.csv,-37.79255451,175.3436165,234.0761906,2,,,,,,
160,SCPT_57353.csv,-43.55676539,172.6521898,164.5391587,2,,,,,,
161,SCPT_125043.csv,-36.84398782,174.7677982,187.5103233,2,,,,,,
162,SDMT_211387.csv,-37.67965616,176.1659618,239.7829978,2,,,,,,
163,SDMT_178944.csv,-37.71003364,176.1003558,131.1235787,2,,,,,,
164,SCPT_57364.csv,-43.55618434,172.5932756,147.6159193,2,,,,,,
165,SDMT_67011.csv,-36.96730243,174.7778735,142.4250487,2,,,,,,
166,SDMT_92526.csv,-37.69951601,175.2452788,332.7450125,2,,,,,,
167,SDMT_167216.csv,-36.86787266,174.7627349,189.5163455,2,,,,,,
168,SDMT_200778.csv,-36.96016355,174.7900128,183.9839497,2,,,,,,
169,SCPT_140262.csv,-37.80101132,175.3092201,232.0907475,2,,,,,,
170,SCPT_129764.csv,-37.87943449,175.4501086,248.6083271,2,,,,,,
171,SCPT_129759.csv,-37.88893207,175.4470806,226.8999537,2,,,,,,
172,SCPT_129763.csv,-37.88191423,175.4469961,297.8233345,2,,,,,,
173,SCPT_129761.csv,-37.88647564,175.4469083,218.7847372,2,,,,,,
174,SCPT_129760.csv,-37.88791071,175.4467967,218.1436258,2,,,,,,
175,SCPT_61758.csv,-43.50434152,172.6907045,169.9442222,2,,,,,,
176,SDMT_167295.csv,-36.86776974,174.7628982,188.8295516,2,,,,,,
177,SDMT_92544.csv,-37.81062913,175.343268,213.6039966,2,,,,,,
178,SDMT_167297.csv,-36.86779704,174.7629964,180.5020627,2,,,,,,
,SDMT_106511.csv,-36.87545298,174.7035138,210.7566543,2,,,,,,
,SDMT_139897.csv,-37.79158087,175.2914113,249.1621863,2,,,,,,
